"id","area","rooms","floor","year","price","district","lat","lng","status","created_at","updated_at","address","bathrooms","decoration","halls","name","orientation","price_per_sqm","property_type","total_floors"
"6990","166.3","4","8","2026","872930.32","鹿苑街道","34.534316","109.084574","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区鹿苑街道鹿苑小区20栋1单元","2","精装","3","鹿苑小区","南","5249.13","住宅","11"
"6991","124","3","8","2026","764234.32","泾渭街道","34.534617","109.090021","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区泾渭街道泾渭上城7栋6单元","2","毛坯","2","泾渭上城","东南","6163.18","住宅","18"
"6992","104.8","2","8","2025","758280.4","耿镇街道","34.53228","109.106723","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区耿镇街道高陵恒大18栋6单元","1","精装","1","高陵恒大","东南","7235.5","住宅","30"
"6993","84.3","2","16","2026","578726.24","泾渭街道","34.537823","109.09793","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区泾渭街道泾渭上城3栋3单元","1","毛坯","1","泾渭上城","南","6865.08","公寓","25"
"6994","107.1","3","25","2026","810795.19","通远街道","34.526297","109.092751","sold","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区通远街道高陵碧桂园8栋2单元","2","简装","2","高陵碧桂园","西南","7570.45","住宅","25"
"6995","137.5","3","4","2025","906026","泾渭街道","34.533401","109.090247","off","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区泾渭街道泾渭上城18栋6单元","1","精装","2","泾渭上城","西南","6589.28","住宅","11"
"6996","122.3","3","10","2026","650610.32","泾渭街道","34.516355","109.086762","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区泾渭街道泾渭春天18栋5单元","2","精装","2","泾渭春天","东南","5319.79","住宅","25"
"6997","85.5","2","23","2026","492816.87","崇皇街道","34.546831","109.096178","off","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区崇皇街道崇皇花园6栋1单元","1","毛坯","1","崇皇花园","西南","5763.94","住宅","25"
"6998","97.9","2","10","2026","602489.33","鹿苑街道","34.532807","109.08037","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区鹿苑街道鹿苑华庭10栋6单元","1","精装","1","鹿苑华庭","南","6154.13","住宅","25"
"6999","128.6","3","5","2025","865124.35","鹿苑街道","34.522198","109.082621","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区鹿苑街道鹿苑华庭19栋2单元","1","简装","2","鹿苑华庭","北","6727.25","公寓","6"
"7000","113","3","9","2025","601645.9","渭水片区","34.541972","109.070681","sold","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区渭水片区渭水家园19栋3单元","2","精装","2","渭水家园","南","5324.3","住宅","30"
"7001","101.5","3","6","2025","468613.32","泾渭街道","34.529463","109.091033","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区泾渭街道泾渭春天8栋4单元","1","精装","2","泾渭春天","东北","4616.88","住宅","18"
"7002","92.9","2","5","2025","511891.08","鹿苑街道","34.539487","109.07654","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区鹿苑街道鹿苑小区17栋5单元","1","简装","1","鹿苑小区","东南","5510.13","住宅","6"
"7003","103.1","3","4","2026","620891.91","泾渭街道","34.532505","109.098471","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区泾渭街道泾渭上城10栋6单元","1","简装","2","泾渭上城","南","6022.23","住宅","11"
"7004","88.1","2","11","2025","478939.79","渭水片区","34.545276","109.071459","off","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区渭水片区渭水家园2栋5单元","1","精装","1","渭水家园","南","5436.32","住宅","25"
"7005","106.8","2","5","2026","512395.43","鹿苑街道","34.542301","109.08412","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区鹿苑街道鹿苑小区9栋1单元","1","简装","1","鹿苑小区","东南","4797.71","住宅","18"
"7006","124.6","3","2","2025","778465.91","崇皇街道","34.534611","109.097118","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区崇皇街道崇皇花园6栋2单元","2","精装","2","崇皇花园","西南","6247.72","住宅","11"
"7007","142","4","7","2026","697989.64","鹿苑街道","34.53486","109.086894","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区鹿苑街道鹿苑小区5栋6单元","2","精装","3","鹿苑小区","西南","4915.42","住宅","18"
"7008","135.6","4","17","2026","834201.71","泾渭街道","34.537667","109.086028","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区泾渭街道泾渭上城9栋3单元","2","简装","3","泾渭上城","南","6151.93","住宅","18"
"7009","161.8","4","1","2026","732530.08","崇皇街道","34.533956","109.087729","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区崇皇街道崇皇新城12栋6单元","1","简装","3","崇皇新城","东南","4527.38","住宅","11"
"7010","92.6","2","8","2026","638387.18","鹿苑街道","34.534295","109.101059","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区鹿苑街道高陵天下19栋4单元","1","简装","1","高陵天下","东南","6894.03","住宅","30"
"7011","133.4","4","8","2026","515133.44","渭水片区","34.542453","109.066631","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区渭水片区渭水家园19栋2单元","1","精装","3","渭水家园","南","3861.57","住宅","18"
"7012","138.8","3","13","2026","1117878.54","鹿苑街道","34.521115","109.080368","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区鹿苑街道鹿苑华庭1栋2单元","1","精装","2","鹿苑华庭","东南","8053.88","公寓","18"
"7013","103.3","3","6","2026","709672.03","鹿苑街道","34.525446","109.084792","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区鹿苑街道高陵天下11栋3单元","1","毛坯","2","高陵天下","东","6870.01","住宅","18"
"7014","174.9","4","16","2025","862138.07","泾渭街道","34.515239","109.084607","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区泾渭街道泾渭春天5栋1单元","1","简装","3","泾渭春天","西南","4929.32","住宅","18"
"7015","88.9","2","13","2026","579037.7","泾渭街道","34.524582","109.091762","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区泾渭街道泾渭佳苑13栋4单元","1","豪装","1","泾渭佳苑","南","6513.36","公寓","18"
"7016","106.3","2","3","2025","575453.99","鹿苑街道","34.539206","109.089561","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区鹿苑街道鹿苑小区20栋3单元","1","毛坯","1","鹿苑小区","东北","5413.49","住宅","25"
"7017","174.7","4","23","2026","1156915.81","鹿苑街道","34.535061","109.091346","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区鹿苑街道高陵天下20栋5单元","1","简装","3","高陵天下","南","6622.3","住宅","25"
"7018","100.1","2","24","2026","471355.89","鹿苑街道","34.523586","109.071627","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区鹿苑街道鹿苑小区2栋4单元","1","简装","1","鹿苑小区","南","4708.85","住宅","30"
"7019","105.2","2","18","2026","707534.17","泾渭街道","34.534756","109.082007","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区泾渭街道泾渭新城17栋4单元","1","精装","1","泾渭新城","南","6725.61","公寓","30"
"7020","138.7","3","10","2025","850970.27","鹿苑街道","34.524054","109.084775","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区鹿苑街道鹿苑华庭3栋3单元","2","精装","2","鹿苑华庭","南","6135.33","住宅","18"
"7021","133.4","4","9","2025","864327.95","通远街道","34.529535","109.101952","sold","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区通远街道高陵碧桂园13栋5单元","1","简装","3","高陵碧桂园","西北","6479.22","住宅","30"
"7022","119.8","3","13","2025","604579.09","泾渭街道","34.522657","109.089877","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区泾渭街道泾渭佳苑11栋6单元","2","精装","2","泾渭佳苑","东南","5046.57","住宅","18"
"7023","130.7","3","5","2026","867683.32","鹿苑街道","34.542735","109.086836","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区鹿苑街道高陵天下12栋5单元","2","豪装","2","高陵天下","东南","6638.74","住宅","18"
"7024","139.1","3","8","2025","811250.67","崇皇街道","34.542939","109.099369","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区崇皇街道崇皇花园6栋1单元","2","精装","2","崇皇花园","南","5832.14","住宅","18"
"7025","135.2","3","6","2026","514187.23","渭水片区","34.528277","109.068926","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区渭水片区渭水家园15栋2单元","2","精装","2","渭水家园","南","3803.16","住宅","6"
"7026","92.1","2","9","2025","597492.3","泾渭街道","34.521992","109.087596","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区泾渭街道泾渭上城17栋1单元","1","毛坯","1","泾渭上城","南","6487.43","住宅","11"
"7027","85","1","6","2025","494876.8","泾渭街道","34.533384","109.095357","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区泾渭街道泾渭上城2栋3单元","1","精装","1","泾渭上城","南","5822.08","住宅","11"
"7028","138.8","3","5","2026","847131.1","鹿苑街道","34.536998","109.077469","available","3/5/2026 05:47:37.540888+00","3/5/2026 05:47:37.540888+00","西安市高陵区鹿苑街道鹿苑华庭7栋5单元","1","简装","2","鹿苑华庭","南","6103.25","公寓","6"
"7029","113.5","3","17","2025","638061.81","鹿苑街道","34.526728","109.076546","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道鹿苑小区11栋1单元","1","简装","2","鹿苑小区","南","5621.69","住宅","18"
"7030","87.7","2","19","2026","600576.62","泾渭街道","34.524487","109.075257","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区泾渭街道泾渭佳苑10栋5单元","1","精装","1","泾渭佳苑","东南","6848.08","公寓","25"
"7031","89.1","2","16","2026","531566.14","鹿苑街道","34.542109","109.08504","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道鹿苑小区3栋1单元","1","精装","1","鹿苑小区","南","5965.95","公寓","18"
"7032","106.1","2","9","2025","551129.02","泾渭街道","34.527058","109.07524","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区泾渭街道泾渭佳苑1栋5单元","1","简装","1","泾渭佳苑","南","5194.43","住宅","18"
"7033","115.3","3","23","2025","716837.39","泾渭街道","34.529153","109.074104","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区泾渭街道泾渭明珠8栋6单元","1","精装","2","泾渭明珠","东南","6217.15","住宅","30"
"7034","176.2","4","11","2025","767551.87","鹿苑街道","34.531407","109.078902","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道鹿苑小区19栋3单元","1","简装","3","鹿苑小区","西南","4356.14","住宅","11"
"7035","175.3","4","11","2026","1166055.28","渭水片区","34.533866","109.076563","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区渭水片区渭水茗居5栋6单元","1","精装","3","渭水茗居","南","6651.77","住宅","25"
"7036","115.3","3","1","2025","668238.44","崇皇街道","34.54783","109.079123","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区崇皇街道崇皇新城4栋2单元","2","豪装","2","崇皇新城","西南","5795.65","住宅","6"
"7037","107.3","3","16","2026","914619.84","通远街道","34.537974","109.1044","off","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区通远街道高陵碧桂园5栋1单元","2","精装","2","高陵碧桂园","北","8523.95","住宅","18"
"7038","96.7","2","4","2026","601017.58","崇皇街道","34.539132","109.103305","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区崇皇街道崇皇花园11栋4单元","1","简装","1","崇皇花园","东北","6215.28","公寓","11"
"7039","97.3","2","10","2026","636052.05","泾渭街道","34.533371","109.08234","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区泾渭街道泾渭上城16栋2单元","1","精装","1","泾渭上城","南","6537.02","公寓","18"
"7040","131.8","4","7","2026","832367.08","泾渭街道","34.53559","109.089848","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区泾渭街道泾渭佳苑11栋2单元","2","简装","3","泾渭佳苑","南","6315.38","住宅","11"
"7041","81.6","2","11","2025","539526.14","泾渭街道","34.526966","109.097299","sold","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区泾渭街道泾渭上城11栋4单元","1","简装","1","泾渭上城","南","6611.84","住宅","18"
"7042","131.7","3","5","2026","829227.98","鹿苑街道","34.525518","109.069969","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道鹿苑新城11栋6单元","1","简装","2","鹿苑新城","南","6296.34","住宅","18"
"7043","85.8","2","4","2026","444796.64","鹿苑街道","34.530347","109.068795","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道鹿苑新城3栋2单元","1","简装","1","鹿苑新城","西南","5184.11","住宅","6"
"7044","80.1","2","7","2026","691025.1","鹿苑街道","34.538548","109.090726","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道高陵天下18栋6单元","1","豪装","1","高陵天下","东","8627.03","住宅","18"
"7045","142","4","9","2025","1278878.98","通远街道","34.528149","109.101543","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区通远街道高陵碧桂园8栋5单元","2","精装","3","高陵碧桂园","东","9006.19","住宅","11"
"7046","88.9","2","25","2026","691217.06","鹿苑街道","34.535238","109.081402","off","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道鹿苑华庭18栋2单元","1","精装","1","鹿苑华庭","西南","7775.22","公寓","25"
"7047","107.3","2","11","2025","686266.12","鹿苑街道","34.524699","109.083471","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道鹿苑新城5栋1单元","1","精装","1","鹿苑新城","南","6395.77","住宅","11"
"7048","123.2","3","11","2026","618593.36","崇皇街道","34.533785","109.077164","sold","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区崇皇街道崇皇新城18栋1单元","1","精装","2","崇皇新城","东南","5021.05","住宅","18"
"7049","161.9","4","13","2026","836569.68","渭水片区","34.539565","109.083964","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区渭水片区渭水茗居14栋2单元","1","精装","3","渭水茗居","东","5167.2","住宅","18"
"7050","93.4","2","17","2025","479664.11","泾渭街道","34.532397","109.090973","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区泾渭街道泾渭明珠3栋6单元","1","精装","1","泾渭明珠","南","5135.59","住宅","18"
"7051","175.8","4","11","2025","1144574.03","鹿苑街道","34.532857","109.085303","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道高陵天下19栋4单元","2","简装","3","高陵天下","南","6510.66","住宅","11"
"7052","110.1","3","2","2026","695642.63","泾渭街道","34.525511","109.083631","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区泾渭街道泾渭上城4栋4单元","1","精装","2","泾渭上城","南","6318.28","住宅","18"
"7053","78.6","1","23","2025","370215.43","泾渭街道","34.526052","109.085683","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区泾渭街道泾渭新城20栋4单元","1","简装","1","泾渭新城","南","4710.12","住宅","30"
"7054","129.3","3","6","2025","1059909.6","鹿苑街道","34.530464","109.096","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道高陵天下11栋6单元","2","精装","2","高陵天下","东南","8197.29","住宅","18"
"7055","126.3","3","2","2026","717978.87","鹿苑街道","34.532131","109.07858","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道鹿苑小区9栋4单元","2","精装","2","鹿苑小区","南","5684.71","住宅","11"
"7056","110.3","3","22","2025","700306.83","泾渭街道","34.523518","109.089363","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区泾渭街道泾渭上城9栋6单元","2","精装","2","泾渭上城","南","6349.11","住宅","30"
"7057","107.7","2","21","2026","637520.46","泾渭街道","34.527408","109.082735","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区泾渭街道泾渭佳苑7栋1单元","1","简装","1","泾渭佳苑","西南","5919.41","住宅","25"
"7058","119.5","3","4","2026","678506.66","泾渭街道","34.524556","109.095023","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区泾渭街道泾渭春天9栋6单元","1","豪装","2","泾渭春天","南","5677.88","住宅","6"
"7059","135.9","4","5","2025","973109.23","鹿苑街道","34.544902","109.08284","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道高陵天下3栋4单元","2","精装","3","高陵天下","西南","7160.48","住宅","11"
"7060","138.3","4","4","2026","608428.72","鹿苑街道","34.536611","109.064545","sold","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道鹿苑新城18栋6单元","2","简装","3","鹿苑新城","南","4399.34","住宅","11"
"7061","86","2","4","2025","435700.08","泾渭街道","34.524823","109.080487","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区泾渭街道泾渭明珠17栋5单元","1","毛坯","1","泾渭明珠","西北","5066.28","住宅","6"
"7062","127.4","3","8","2026","817992.08","崇皇街道","34.547672","109.085546","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区崇皇街道崇皇花园6栋3单元","2","精装","2","崇皇花园","东","6420.66","公寓","11"
"7063","86.7","2","2","2025","703307.8","鹿苑街道","34.537874","109.070218","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道鹿苑华庭19栋3单元","1","精装","1","鹿苑华庭","南","8111.97","住宅","11"
"7064","125.6","3","22","2026","632272.91","泾渭街道","34.52934","109.077139","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区泾渭街道泾渭明珠15栋2单元","1","豪装","2","泾渭明珠","西北","5034.02","公寓","30"
"7065","156.1","4","8","2026","1046608.35","崇皇街道","34.546336","109.093881","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区崇皇街道崇皇花园7栋6单元","1","简装","3","崇皇花园","南","6704.73","住宅","11"
"7066","101.8","2","3","2026","516611.59","泾渭街道","34.529808","109.078654","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区泾渭街道泾渭佳苑6栋3单元","1","精装","1","泾渭佳苑","西南","5074.77","住宅","6"
"7067","96.5","2","18","2026","840157.95","鹿苑街道","34.54209","109.100741","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道高陵天下12栋3单元","1","精装","1","高陵天下","南","8706.3","住宅","18"
"7068","125.6","3","5","2026","804316.02","通远街道","34.528392","109.091028","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区通远街道高陵碧桂园2栋4单元","2","豪装","2","高陵碧桂园","东南","6403.79","住宅","25"
"7069","129.3","3","1","2025","663733.1","鹿苑街道","34.535444","109.089528","sold","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道鹿苑小区9栋6单元","2","简装","2","鹿苑小区","南","5133.28","住宅","25"
"7070","151.3","4","2","2026","952093.08","鹿苑街道","34.524334","109.072796","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道鹿苑华庭9栋5单元","2","精装","3","鹿苑华庭","南","6292.75","住宅","18"
"7071","77","1","18","2026","661964.38","耿镇街道","34.524447","109.094953","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区耿镇街道高陵恒大15栋6单元","1","精装","1","高陵恒大","西","8596.94","公寓","18"
"7072","153.2","4","8","2025","774148.71","泾渭街道","34.521814","109.077345","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区泾渭街道泾渭佳苑6栋6单元","2","精装","3","泾渭佳苑","东","5053.19","住宅","11"
"7073","89.9","2","18","2026","456875.4","鹿苑街道","34.526007","109.08101","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541404+00","西安市高陵区鹿苑街道鹿苑新城17栋1单元","1","简装","1","鹿苑新城","南","5082.04","住宅","18"
"7074","105.6","3","6","2026","526521.6","渭水片区","34.526538","109.068314","available","3/5/2026 05:47:37.541404+00","3/5/2026 05:47:37.541919+00","西安市高陵区渭水片区渭水家园6栋1单元","1","精装","2","渭水家园","南","4986","住宅","6"
"7075","106.2","3","5","2026","828439.65","通远街道","34.531018","109.097696","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区通远街道高陵碧桂园20栋4单元","1","豪装","2","高陵碧桂园","南","7800.75","住宅","11"
"7076","135.5","3","6","2026","602525.14","鹿苑街道","34.539181","109.08644","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区鹿苑街道鹿苑小区6栋1单元","2","精装","2","鹿苑小区","南","4446.68","住宅","6"
"7077","147.8","4","10","2025","946063.37","泾渭街道","34.535396","109.072391","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区泾渭街道泾渭明珠1栋2单元","2","精装","3","泾渭明珠","南","6400.97","住宅","18"
"7078","135.9","3","5","2026","679673.95","鹿苑街道","34.535186","109.074524","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区鹿苑街道鹿苑小区6栋3单元","2","精装","2","鹿苑小区","南","5001.28","住宅","6"
"7079","104.4","2","3","2026","815190.7","通远街道","34.523211","109.093363","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区通远街道高陵碧桂园13栋5单元","1","精装","1","高陵碧桂园","南","7808.34","住宅","18"
"7080","90.1","2","17","2025","772628.22","通远街道","34.533536","109.092976","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区通远街道高陵碧桂园9栋2单元","1","精装","1","高陵碧桂园","西南","8575.23","住宅","25"
"7081","133.8","3","4","2026","892732.33","鹿苑街道","34.534972","109.082345","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区鹿苑街道鹿苑华庭11栋5单元","1","毛坯","2","鹿苑华庭","南","6672.14","住宅","18"
"7082","104","2","25","2025","808526.16","耿镇街道","34.534366","109.093677","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区耿镇街道高陵恒大19栋4单元","1","精装","1","高陵恒大","南","7774.29","住宅","25"
